Ano;Departamento;gabinete;sector;subsector;institucion;proyecto;monto;
2019;Atlántida;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Desarrollo Productivo;Cuenta del Desafío del Milenio-Honduras;PROYECTO DE COMPETITIVIDAD RURAL EN HONDURAS, (COMRURAL);69711066.000000000000000000000000000000;
2019;Atlántida;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Protección Social;Cuenta del Desafío del Milenio-Honduras;Centros de Atención Integral para mejorar las condiciones de vida de las mujeres hondureñas (Ciudad Mujer);54938971.000000000000000000000000000000;
2019;Atlántida;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Protección Social;Fondo Hondureño de Inversión Social;PROGRAMA DE INFRAESTRUCTURA PARA LA SEGURIDAD CIUDADANA;47080712.000000000000000000000000000000;
2019;Atlántida;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;ATENCIÓN A MUJERES, JÓVENES, NIÑOS Y NIÑAS EN SITUACIÓN DE VIOLENCIA Y RIESGO SOCIAL;1527325.000000000000000000000000000000;
2019;Atlántida;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;BOLSON ESCOLAR Y EQUIPO DE UTILES;233023.000000000000000000000000000000;
2019;Atlántida;Gabinete Social;Promoción y Protección Humana;Protección Social;Secretaría de Desarrollo e Inclusión Social;CENTROS DE ATENCIÓN A PERSONAS  CON CAPACIDADES ESPECIALES Y ADULTOS MAYORES EN SITUACIÓN DE VULNERABILIDAD;3857214.000000000000000000000000000000;
2019;Choluteca;Gabinete de Infraestructura, Servicios y Empr;Agroforestal y Turismo;Desarrollo Productivo;Cuenta del Desafío del Milenio-Honduras;ALIANZA PARA EL CORREDOR SECO (USAID-GAFSP);98116528.000000000000000000000000000000;
2019;Choluteca;Gabinete de Infraestructura, Servicios y Empr;Promoción y Protección Humana;Protección Social;Cuenta del Desafío del Milenio-Honduras;Centros de Atención Integral para mejorar las condiciones de vida de las mujeres hondureñas (Ciudad Mujer);103045746.000000000000000000000000000000;
2019;Choluteca;Gabinete de Infraestructura, Servicios y Empr;Comunicaciones y Energía;Carreteras;Cuenta del Desafío del Milenio-Honduras;CORREDOR PACÍFICO-PROGRAMA DE INTEGRACIÓN VIAL REGIONAL;372447722.000000000000000000000000000000;
2019;Choluteca;Gabinete Social;Promoción y Protección Humana;Educación;Secretaría de Educación;PROGRAMA DE MEJORA DE LA INFRAESTRUCTURA ESCOLAR (PROMINE/KFW, FASE II);53541.000000000000000000000000000000;
